episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
108,Q008,0.458,4,2,accepted,1,1.0,11.261,3206,458,198,0.00293,-0.602691,nan,-0.549762,-0.567421,-0.70447,True
109,Q013,0.4571,4,2,accepted,1,1.0,8.583,2720,462,200,0.019465,-0.538044,nan,-0.493038,-0.513477,-0.658462,True
110,Q011,0.2268,4,2,accepted,1,0.75,8.448,3124,466,202,0.019604,-0.487861,nan,-0.477026,-0.462984,-0.545028,True
111,Q019,0.5791,4,2,accepted,1,1.0,4.787,2796,470,204,0.005391,-0.581331,nan,-0.572363,-0.542661,-0.675015,True
112,Q037,0.5585,4,2,accepted,1,1.0,4.771,2873,474,206,0.01258,-0.608695,nan,-0.576048,-0.5739,-0.672087,True
113,Q028,0.6027,4,2,accepted,1,1.0,3.895,2582,478,208,0.005476,-0.502857,nan,-0.508643,-0.482779,-0.586374,True
114,Q025,0.4756,4,2,accepted,1,1.0,10.299,2406,482,210,0.00496,-0.507351,nan,-0.549555,-0.579141,-0.691025,True
115,Q004,0.4566,4,2,accepted,1,0.5,4.095,2539,486,212,0.006378,-0.519514,nan,-0.533441,-0.552468,-0.674558,True
116,Q031,0.4628,4,2,accepted,1,1.0,9.883,3127,490,214,0.0031,-0.544599,nan,-0.475732,-0.479099,-0.559222,True
117,Q004,0.6772,4,3,accepted,1,1.0,14.748,3968,494,216,0.004572,-0.615949,nan,-0.55551,-0.539999,-0.666237,True
118,Q007,0.6151,4,3,accepted,1,1.0,11.683,4954,498,218,0.007239,-0.584508,nan,-0.543064,-0.53336,-0.593985,True
119,Q009,0.5358,4,3,accepted,1,1.0,16.707,3692,502,220,0.004828,-0.5541,nan,-0.517004,-0.520571,-0.610438,True
120,Q034,0.5117,4,3,accepted,1,1.0,13.098,4054,506,222,0.018757,-0.552689,nan,-0.547369,-0.566913,-0.649614,True
121,Q034,0.5149,4,3,accepted,1,1.0,13.501,3923,510,224,0.005212,-0.535758,nan,-0.516718,-0.547332,-0.594107,True
122,Q004,0.6778,4,3,accepted,1,1.0,13.23,4066,514,226,0.016138,-0.548583,nan,-0.492056,-0.491813,-0.560032,True
123,Q021,0.4979,4,3,accepted,1,1.0,12.38,3003,518,228,0.005665,-0.561322,nan,-0.546996,-0.554671,-0.650753,True
124,Q036,0.5777,4,3,accepted,1,1.0,13.369,4004,522,230,0.00249,-0.569395,nan,-0.606436,-0.577993,-0.722758,True
125,Q032,0.2301,4,3,accepted,1,0.75,20.761,4390,526,232,0.015741,-0.520929,nan,-0.514633,-0.537893,-0.629186,True
126,Q013,0.5022,4,3,accepted,1,1.0,17.836,4352,530,234,0.014453,-0.530979,nan,-0.505379,-0.524003,-0.578424,True
127,Q012,0.4436,4,3,accepted,1,1.0,15.402,3996,534,236,0.001643,-0.575279,nan,-0.574294,-0.591497,-0.717785,True
128,Q029,0.6209,4,3,accepted,1,1.0,12.245,6213,538,238,0.005236,-0.55514,nan,-0.546001,-0.569294,-0.667801,True
129,Q005,0.6911,4,3,accepted,1,1.0,9.453,2770,542,240,0.013,-0.491895,nan,-0.471075,-0.529332,-0.576645,True
130,Q019,0.5541,4,3,accepted,1,1.0,14.118,3169,546,242,0.014311,-0.504564,nan,-0.567368,-0.59013,-0.664105,True
131,Q002,0.6244,4,3,accepted,1,1.0,9.365,3417,550,244,0.003178,-0.55435,nan,-0.568856,-0.575093,-0.668754,True
132,Q020,0.5886,4,3,accepted,1,1.0,17.54,4003,554,246,0.002044,-0.565031,nan,-0.507891,-0.582035,-0.687873,True
133,Q017,0.5253,4,3,accepted,1,1.0,18.047,4969,558,248,0.005117,-0.565926,nan,-0.536139,-0.560547,-0.655996,True
134,Q023,0.3203,4,3,accepted,1,0.6667,15.351,4064,562,250,0.01194,-0.546212,nan,-0.498698,-0.567056,-0.665123,True
135,Q035,0.4065,4,3,accepted,1,0.6667,19.699,3660,566,252,0.005292,-0.523161,nan,-0.510843,-0.555323,-0.580359,True
136,Q032,0.3938,4,3,accepted,1,1.0,20.1,4456,570,254,0.002996,-0.527412,nan,-0.562296,-0.566542,-0.651338,True
137,Q012,0.4465,4,3,accepted,1,1.0,12.796,3943,574,256,0.01447,-0.518517,nan,-0.517129,-0.576695,-0.630064,True
138,Q021,0.4947,4,3,accepted,1,1.0,20.157,3440,578,258,0.005433,-0.541263,nan,-0.482659,-0.547506,-0.565631,True
139,Q008,0.5197,4,3,accepted,1,1.0,16.812,5334,582,260,0.001412,-0.572898,nan,-0.566086,-0.616246,-0.668097,True
140,Q002,0.6244,4,3,accepted,1,1.0,9.212,3102,586,262,0.0054,-0.559599,nan,-0.538131,-0.587603,-0.629641,True
141,Q030,0.4933,4,3,accepted,1,1.0,16.047,4480,590,264,0.013585,-0.524558,nan,-0.511473,-0.53656,-0.605297,True
142,Q019,0.5548,4,3,accepted,1,1.0,12.539,3460,594,266,0.004567,-0.531742,nan,-0.568722,-0.596303,-0.661363,True
143,Q036,0.5146,4,3,accepted,1,1.0,10.464,3654,598,268,0.00173,-0.538178,nan,-0.511428,-0.573756,-0.596019,True
144,Q025,0.5375,4,3,accepted,1,1.0,14.412,4215,602,270,0.004731,-0.533872,nan,-0.528407,-0.576138,-0.625912,True
145,Q014,0.2263,4,3,accepted,1,0.6667,14.026,5814,606,272,0.012085,-0.551723,nan,-0.483759,-0.548582,-0.632175,True
146,Q001,0.7149,4,3,accepted,1,1.0,12.225,4310,610,274,0.006353,-0.527069,nan,-0.550298,-0.565584,-0.629298,True
147,Q002,0.6242,4,3,accepted,1,1.0,9.757,3417,614,276,0.004285,-0.511676,nan,-0.573574,-0.592374,-0.632437,True
148,Q005,0.6896,4,3,accepted,1,1.0,12.995,3054,618,278,0.003581,-0.512704,nan,-0.507379,-0.546595,-0.584151,True
149,Q030,0.4906,4,3,accepted,1,1.0,11.407,4182,622,280,0.010914,-0.550928,nan,-0.538484,-0.60381,-0.668279,True
150,Q030,0.4857,4,3,accepted,1,1.0,12.947,4192,626,282,0.005577,-0.547242,nan,-0.5024,-0.588462,-0.652942,True
151,Q037,0.562,4,3,accepted,1,1.0,10.619,5264,630,284,0.002913,-0.540822,nan,-0.52091,-0.567559,-0.618017,True
152,Q013,0.4296,4,3,accepted,1,1.0,20.541,4822,634,286,0.004502,-0.516535,nan,-0.592431,-0.589359,-0.664615,True
153,Q036,0.5782,4,3,accepted,1,1.0,12.099,3699,638,288,0.003277,-0.522962,nan,-0.526281,-0.575611,-0.62946,True
154,Q017,0.518,4,3,accepted,1,1.0,20.994,5482,642,290,0.014314,-0.538582,nan,-0.518721,-0.607613,-0.619325,True
155,Q011,0.2303,4,3,accepted,1,0.8,18.43,5997,646,292,0.005211,-0.501694,nan,-0.548119,-0.586036,-0.643736,True
156,Q001,0.7161,4,3,accepted,1,1.0,9.437,4014,650,294,0.004192,-0.52741,nan,-0.540187,-0.628214,-0.71573,True
157,Q018,0.5075,4,3,accepted,1,1.0,11.635,2603,654,296,0.006298,-0.52118,nan,-0.452094,-0.536222,-0.556159,True
158,Q022,-1.2575,12,7,timeout,0,0.0,41.932,17437,666,302,0.01272,-0.465579,nan,-0.441438,-0.543992,-0.624735,True
159,Q034,0.5195,4,3,accepted,1,1.0,14.699,4743,670,304,0.004569,-0.511117,nan,-0.481765,-0.570021,-0.605702,True
160,Q034,0.5133,4,3,accepted,1,1.0,10.658,3550,674,306,0.003246,-0.557177,nan,-0.504156,-0.597335,-0.61207,True
161,Q001,0.7161,4,3,accepted,1,1.0,9.341,4229,678,308,0.002334,-0.533212,nan,-0.466092,-0.56831,-0.687309,True
162,Q007,0.6149,4,3,accepted,1,1.0,12.239,4954,682,310,0.00207,-0.49816,nan,-0.506221,-0.567378,-0.583694,True
163,Q025,0.5353,4,3,accepted,1,1.0,19.635,4529,686,312,0.008699,-0.517936,nan,-0.495462,-0.592255,-0.719389,True
164,Q036,0.5754,4,3,accepted,1,1.0,18.933,3699,690,314,0.003303,-0.51344,nan,-0.478548,-0.55458,-0.622817,True
165,Q018,0.4967,4,3,accepted,1,1.0,13.508,2837,694,316,0.003904,-0.523768,nan,-0.566238,-0.570246,-0.675344,True
166,Q010,0.589,4,3,accepted,1,1.0,18.429,5138,698,318,0.001889,-0.495816,nan,-0.511515,-0.565244,-0.655819,True
167,Q020,0.5688,4,3,accepted,1,1.0,11.039,3323,702,320,0.003113,-0.462097,nan,-0.513686,-0.577735,-0.680559,True
168,Q012,0.4514,4,3,accepted,1,1.0,17.092,4123,706,322,0.004291,-0.488362,nan,-0.522536,-0.573992,-0.673377,True
169,Q003,0.3453,4,3,accepted,1,1.0,13.815,4505,710,324,0.004888,-0.463573,nan,-0.464284,-0.586932,-0.634779,True
170,Q018,0.5075,4,3,accepted,1,1.0,11.594,2283,714,326,0.004703,-0.464181,nan,-0.525258,-0.5631,-0.659113,True
171,Q004,0.6804,4,3,accepted,1,1.0,12.039,3798,718,328,0.0105,-0.509646,nan,-0.52349,-0.607746,-0.684562,True
172,Q031,0.3602,4,3,accepted,1,0.75,15.764,4039,722,330,0.007621,-0.488089,nan,-0.460273,-0.584363,-0.660537,True
173,Q014,0.2267,4,3,accepted,1,0.6667,13.036,6123,726,332,0.001827,-0.508287,nan,-0.524748,-0.597301,-0.716637,True
174,Q025,0.5379,4,3,accepted,1,1.0,13.59,4215,730,334,0.00341,-0.501836,nan,-0.455537,-0.548575,-0.584677,True
175,Q016,0.5498,4,3,accepted,1,1.0,16.375,4878,734,336,0.002039,-0.506651,nan,-0.511383,-0.644418,-0.661131,True
176,Q009,0.5361,4,3,accepted,1,1.0,10.795,3024,738,338,0.004312,-0.505832,nan,-0.518038,-0.615619,-0.616133,True
177,Q020,0.5897,4,3,accepted,1,1.0,14.987,3987,742,340,0.00585,-0.497359,nan,-0.500152,-0.573473,-0.609266,True
178,Q002,0.6235,4,3,accepted,1,1.0,11.527,3102,746,342,0.004453,-0.511472,nan,-0.542025,-0.626782,-0.679916,True
179,Q037,0.5586,4,3,accepted,1,1.0,11.464,5344,750,344,0.002895,-0.496095,nan,-0.513496,-0.595027,-0.643514,True
180,Q007,0.6152,4,3,accepted,1,1.0,11.512,4703,754,346,0.012704,-0.477236,nan,-0.431655,-0.584608,-0.662895,True
181,Q011,0.0584,4,3,accepted,1,0.6,59.751,5890,758,348,0.010047,-0.484112,nan,-0.525339,-0.622608,-0.690257,True
182,Q037,0.5563,4,3,accepted,1,1.0,10.146,5340,762,350,0.001536,-0.501311,nan,-0.502123,-0.523215,-0.548836,True
183,Q029,0.6209,4,3,accepted,1,1.0,12.162,5759,766,352,0.005171,-0.504954,nan,-0.503155,-0.569086,-0.694261,True
184,Q023,0.5019,4,3,accepted,1,1.0,19.378,4378,770,354,0.016552,-0.498355,nan,-0.524002,-0.635228,-0.671721,True
185,Q012,0.4494,4,3,accepted,1,1.0,13.078,4107,774,356,0.004753,-0.436771,nan,-0.489856,-0.575626,-0.582656,True
186,Q016,0.5564,4,3,accepted,1,1.0,16.632,4554,778,358,0.010287,-0.472613,nan,-0.496255,-0.608664,-0.700249,True
187,Q013,0.483,4,3,accepted,1,1.0,18.555,4752,782,360,0.009666,-0.510911,nan,-0.500122,-0.587473,-0.690019,True
188,Q012,0.4497,4,3,accepted,1,1.0,12.265,4107,786,362,0.012121,-0.485489,nan,-0.431608,-0.535267,-0.598453,True
189,Q025,0.5286,4,3,accepted,1,1.0,14.019,4181,790,364,0.004774,-0.499705,nan,-0.551903,-0.575091,-0.656727,True
